created_date,content,user_id,age,gender,rating,device,is_premium
2026-01-01,Никому не советую!! ,56014.0,46.0,F,4.4,Desktop,False
2026-01-01,Wow!! Super fast delivery  Очень доволен!,95059.0,30.0,F,3.6,iOS,False
2026-01-01,Норм,34172.0,64.0,M,1.9,Android,False
2026-01-01,Доставка супер  лучший сервис!,16218.0,19.0,M,1.8,Desktop,False
2026-01-01,Никому не советую!! ,53404.0,70.0,M,2.3,iOS,True
2026-01-01,Никому не советую!! ,87548.0,26.0,M,1.7,iOS,True
2026-01-01,Wow!,58944.0,68.0,F,2.2,Desktop,True
2026-01-01,Фигня полная ,30733.0,26.0,F,1.3,Android,False
2026-01-01,Доставка супер  лучший сервис!,28012.0,31.0,F,3.1,iOS,True
2026-01-01,Фигня полная ,76480.0,61.0,F,1.9,iOS,False
2026-01-01,Да,99580.0,23.0,M,2.3,Android,True
2026-01-01,Доставка супер  лучший сервис!,58730.0,58.0,F,1.4,Android,True
2026-01-01,Ок!,17922.0,30.0,F,4.6,iOS,True
2026-01-02,-,90119.0,35.0,F,1.2,Desktop,True
2026-01-02,Ок!,96392.0,64.0,M,2.6,Desktop,False
2026-01-02,Wow!,98116.0,52.0,F,4.9,iOS,False
2026-01-02,Фигня полная ,50274.0,29.0,M,1.2,Android,True
2026-01-02,Ок!,72373.0,22.0,M,1.1,iOS,False
2026-01-02,Ужас!!!  Верните деньги! Смотрите тут: ,94647.0,-,F,-,iOS,True
2026-01-02,Доставка супер  лучший сервис!,-,64.0,M,-,Desktop,True
2026-01-02,Доставка супер  лучший сервис!,48820.0,26.0,M,4.1,iOS,True
2026-01-02,Доставка супер  лучший сервис!,59953.0,57.0,F,1.6,Android,False
2026-01-02,Ок!,14642.0,30.0,M,2.1,Android,True
2026-01-02,Works perfectly fine  10/10!!,24784.0,34.0,F,2.1,iOS,True
2026-01-02,Фигня полная ,63494.0,53.0,F,4.3,Android,True
2026-01-02,Доставка супер  лучший сервис!,37679.0,52.0,M,4.9,Android,True
2026-01-02,Ну такое...  Приехало сломанным ,15143.0,20.0,M,-,iOS,True
2026-01-02,Wow!,59443.0,-,M,-,iOS,False
2026-01-02,"Ничего необычного, просто ок. ",13942.0,21.0,F,2.4,Android,True
2026-01-02,Ок!,80161.0,39.0,M,1.3,Desktop,True
2026-01-02,Да,88847.0,-,F,1.5,iOS,True
2026-01-02,Best purchase of 2026! ,10890.0,-,F,1.1,Desktop,False
2026-01-02,Фигня полная ,44519.0,39.0,F,2.4,Android,False
2026-01-02,"Всё пришло вовремя, спасибо! ",97870.0,68.0,M,-,Android,True
2026-01-02,Cool ,46439.0,66.0,F,4.2,Desktop,False
2026-01-02,Wow!,87402.0,55.0,F,4.4,Desktop,True
2026-01-02,-,98259.0,25.0,F,3.4,Desktop,True
2026-01-02,Шло долго  но оно того стоило!,48629.0,18.0,M,3.9,iOS,False
2026-01-02,"Всё пришло вовремя, спасибо! ",76106.0,-,M,2.0,iOS,True
2026-01-02,Фигня полная ,-,60.0,F,3.0,Android,True
2026-01-02,Да,72072.0,-,F,4.4,iOS,True
2026-01-02,Ок!,50470.0,25.0,M,4.0,Android,True
2026-01-02,Wow!,86765.0,64.0,M,3.9,Desktop,False
2026-01-02,Доставка супер  лучший сервис!,57592.0,35.0,F,3.1,iOS,False
2026-01-03,Норм,45635.0,50.0,M,1.5,Android,True
2026-01-03,5+,11432.0,30.0,M,2.8,Desktop,True
2026-01-03,Да,36151.0,46.0,F,2.4,Desktop,True
2026-01-03,Ок!,19193.0,57.0,F,2.0,iOS,True
2026-01-03,Норм,81064.0,23.0,F,3.3,iOS,True
2026-01-03,Best purchase of 2026! ,11814.0,24.0,M,2.9,Android,False
2026-01-03,"Худший опыт , техподдержка молчит как рыба ",56289.0,26.0,F,4.8,iOS,True
2026-01-03,Норм,93651.0,66.0,M,4.9,Android,True
2026-01-03,Доставка супер  лучший сервис!,87125.0,35.0,M,2.6,Android,False
2026-01-03,Норм,22691.0,55.0,F,4.8,Android,False
2026-01-03,Фигня полная ,61633.0,-,M,1.3,iOS,False
2026-01-03,F,42828.0,26.0,M,4.1,iOS,True
2026-01-03,Норм,65620.0,18.0,F,4.5,Android,False
2026-01-03,Wow!,81525.0,65.0,M,2.1,Desktop,True
2026-01-03,Фигня полная ,51856.0,59.0,F,4.2,Android,True
2026-01-03,"Товар супер, но курьер — хам ",38453.0,50.0,-,1.6,iOS,False
2026-01-03,Да,18850.0,48.0,F,4.8,iOS,False
2026-01-04,Ок!,15731.0,47.0,M,1.3,iOS,True
2026-01-04,Доставка супер  лучший сервис!,46719.0,40.0,-,4.2,Desktop,False
2026-01-04,F,58365.0,40.0,M,-,Android,True
2026-01-04,Не тратьте деньги зря  Полный хлам.,49680.0,-,M,3.3,iOS,True
2026-01-04,Да,94813.0,39.0,F,2.3,Android,True
2026-01-04,Wow!,15915.0,66.0,F,2.3,Android,False
2026-01-04,Где моя посылка??  Пишу в поддержку!!!,74254.0,21.0,F,1.1,Android,False
2026-01-04,Wow!,58319.0,47.0,M,3.7,Desktop,True
2026-01-04,Works perfectly fine  10/10!!,44227.0,49.0,F,4.5,iOS,True
2026-01-04,Ок!,22404.0,34.0,F,1.3,iOS,True
2026-01-04,Норм,47643.0,54.0,-,2.2,Android,True
2026-01-04,Wow!,89353.0,57.0,F,-,Desktop,True
2026-01-04,Wow!,83738.0,47.0,-,4.6,iOS,True
2026-01-04,Доставка супер  лучший сервис!,82773.0,-,M,4.4,iOS,False
2026-01-04,Wow!,16911.0,21.0,M,3.6,iOS,True
2026-01-04,Ок!,30675.0,62.0,F,1.9,Android,False
2026-01-04,Подделка!!  Не берите этот треш!,77976.0,56.0,F,3.4,Android,True
2026-01-05,Прислали не тот цвет!! ,52470.0,21.0,M,3.2,Android,False
2026-01-05,Да,52108.0,55.0,F,1.7,iOS,False
2026-01-05,Доставка супер  лучший сервис!,35173.0,22.0,F,3.3,Desktop,True
2026-01-05,"В принципе , но доставка подкачала... ",79669.0,51.0,F,3.1,iOS,False
2026-01-05,Фигня полная ,62665.0,-,F,3.7,Android,False
2026-01-05,Ок!,94011.0,43.0,F,-,Android,True
2026-01-05,Прекрасно упаковано!  Всё целое.,43646.0,58.0,F,-,Desktop,True
2026-01-05,Брала на подарок  подруга счастлива!,40327.0,68.0,M,-,Desktop,True
2026-01-05,Ок!,75603.0,52.0,F,3.6,iOS,False
2026-01-05,Ок!,56612.0,55.0,F,-,Android,False
2026-01-05,Доставка супер  лучший сервис!,66342.0,60.0,F,2.1,Android,False
2026-01-05,Размер не подошел  плакаю,93583.0,56.0,F,2.9,iOS,False
2026-01-05,"Мятая коробка, внутри всё норм ",13951.0,31.0,F,3.2,Android,True
2026-01-05,Да,18623.0,47.0,M,4.7,Android,False
2026-01-05,Слишком дорого для такого качества... ,82883.0,34.0,-,3.0,iOS,True
2026-01-05,Да,48639.0,53.0,F,-,iOS,True
2026-01-05,Wow!! Super fast delivery  Очень доволен!,57163.0,46.0,F,4.1,Desktop,False
2026-01-05,Ужас!!!  Верните деньги! Смотрите тут: ,59460.0,18.0,M,3.5,Desktop,True
2026-01-05,Wow!,73500.0,20.0,-,-,Desktop,True
2026-01-05,Фигня полная ,91131.0,65.0,M,2.7,Desktop,True
2026-01-05,Да,10120.0,30.0,F,2.0,Desktop,True
2026-01-05,Да,60946.0,38.0,F,3.2,iOS,False
